n	Fehler
100 nan
200 0.08164986143656094
300 0.02062588358819617
400 0.00919777885442219
500 0.005182378393958964
600 0.003320037105363438
700 0.002307117077135268
800 0.00169583120657113
900 0.001298834051418507
1000 0.001026524069848822
1100 0.0008316691195096038
1200 0.000687454723537817
1300 0.0005777403871326525
1400 0.0004923389020469182
1500 0.00042456332653584283
1600 0.000369877032743271
1700 0.0003251143108256027
1800 0.00028801169560044304
1900 0.000256916103164917
2000 0.00023059745956000022
2100 0.0002081251554586494
2200 0.00018878463646554433
2300 0.0001720198908922166
2400 0.00015739303712614117
2500 0.00014455543773428392
2600 0.00013322673045013111
2700 0.00012317938999362177
2800 0.00011422721417164716
2900 0.00010621663434295936
3000 9.902008527795658e-05
3100 9.253089498739708e-05
3200 8.665930889584228e-05
3300 8.132936949334368e-05
3400 7.647644737585058e-05
3500 7.204527275850303e-05
3600 6.798835482024757e-05
3700 6.426470393061656e-05
3800 6.083879219886956e-05
3900 5.767970288772517e-05
4000 5.476043044183587e-05
4100 5.205730141855103e-05
4200 4.954949302671263e-05
4300 4.721863091949885e-05
4400 4.504845167330185e-05
4500 4.302451830562326e-05
4600 4.113397956795328e-05
4700 3.9365365431476285e-05
4800 3.770841269445935e-05
4900 3.615391577616034e-05
5000 3.469359855368115e-05
5100 3.332000399225432e-05
5200 3.202639876986879e-05
5300 3.080669056421126e-05
5400 2.9655356241442554e-05
5500 2.856737918321972e-05
5600 2.7538194565357443e-05
5700 2.6563641386312398e-05
5800 2.563992036130891e-05
5900 2.4763556813578447e-05
6000 2.3931367974294737e-05
6100 2.3140434025181733e-05
6200 2.2388072463130904e-05
6300 2.1671815322421573e-05
6400 2.0989388913483786e-05
6500 2.0338695743249424e-05
6600 1.9717798394269792e-05
6700 1.9124905083378607e-05
6800 1.855835671360495e-05
6900 1.801661525346887e-05
7000 1.7498253306547085e-05
7100 1.700194467491034e-05
7200 1.6526455881127333e-05
7300 1.6070638504173118e-05
7400 1.5633422211447368e-05
7500 1.5213808505665227e-05
7600 1.4810864987668815e-05
7700 1.4423720192779932e-05
7800 1.4051558867134162e-05
7900 1.3693617672227987e-05
8000 1.3349181265720489e-05
8100 1.301757873417575e-05
8200 1.269818030935621e-05
8300 1.2390394385941583e-05
8400 1.209366478605034e-05
8500 1.1807468205504712e-05
8600 1.153131197551005e-05
8700 1.1264731873628087e-05
8800 1.1007290215414578e-05
8900 1.075857401944269e-05
9000 1.0518193403474818e-05
9100 1.0285779997731836e-05
9200 1.0060985557447388e-05
9300 9.843480673454863e-06
9400 9.632953538285527e-06
9500 9.429108843939105e-06
9600 9.231666739384359e-06
9700 9.040361874768088e-06
9800 8.854942496139273e-06
9900 8.675169640426361e-06
